monthly_rent,location,property_type,rooms,size,furnished,region,Gymnasium,Air-Cond,Washing Machine,Swimming Pool,location_bin
1000,Cheras,Apartment,3,950,1,Kuala Lumpur,0,1,0,0,3
800,Cheras,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
2000,Bukit Bintang,Service Residence,2,900,2,Kuala Lumpur,1,0,0,1,6
1200,Sungai Besi,Apartment,3,1035,1,Kuala Lumpur,1,1,0,1,4
1000,Kepong,Apartment,5,850,0,Kuala Lumpur,0,0,0,0,3
1500,Jalan Kuching,Condominium,3,1050,1,Kuala Lumpur,1,1,1,1,5
2300,Cheras,Condominium,4,1000,1,Kuala Lumpur,0,1,0,1,3
1499,Sentul,Service Residence,3,948,1,Kuala Lumpur,1,1,0,1,4
1400,Cheras,Condominium,3,920,1,Kuala Lumpur,1,0,0,1,3
1750,Sentul,Apartment,3,1010,2,Kuala Lumpur,0,1,1,0,4
1700,Sentul,Apartment,3,819,2,Kuala Lumpur,1,0,1,1,4
1350,Sentul,Service Residence,3,1150,1,Kuala Lumpur,1,0,0,1,4
750,Keramat,Apartment,3,722,0,Kuala Lumpur,0,0,1,0,5
1600,OUG,Apartment,3,950,2,Kuala Lumpur,0,1,1,1,3
1800,Jalan Kuching,Condominium,2,880,2,Kuala Lumpur,1,1,1,1,5
1800,Setapak,Service Residence,3,850,1,Kuala Lumpur,1,0,0,1,4
1300,Bangsar South,Apartment,2,555,1,Kuala Lumpur,0,0,0,1,5
1500,Ampang,Service Residence,1,680,2,Kuala Lumpur,1,1,1,1,3
1250,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,0,0,0,3
2800,Sentul,Service Residence,3,850,2,Kuala Lumpur,0,0,0,0,4
2500,Sentul,Service Residence,3,850,2,Kuala Lumpur,0,0,0,0,4
1850,Cheras,Service Residence,3,1050,2,Kuala Lumpur,1,1,1,1,3
1499,Setapak,Apartment,3,928,1,Kuala Lumpur,1,1,0,1,4
1300,Sentul,Apartment,3,1000,0,Kuala Lumpur,0,0,0,0,4
1500,Sentul,Apartment,3,1100,1,Kuala Lumpur,0,1,0,0,4
1450,Setapak,Apartment,3,850,1,Kuala Lumpur,0,0,0,1,4
1600,Cheras,Condominium,3,1142,1,Kuala Lumpur,1,1,1,1,3
2000,Bangsar South,Service Residence,1,525,2,Kuala Lumpur,1,1,1,1,5
2600,Cheras,Condominium,3,850,2,Kuala Lumpur,1,1,0,1,3
1700,Setapak,Condominium,3,1200,1,Kuala Lumpur,1,0,0,1,4
1500,Setapak,Condominium,3,700,1,Kuala Lumpur,1,0,0,1,4
1500,Setapak,Service Residence,3,850,1,Kuala Lumpur,0,0,0,1,4
1500,Setapak,Service Residence,3,850,1,Kuala Lumpur,0,0,0,1,4
1500,Wangsa Maju,Condominium,3,700,1,Kuala Lumpur,0,0,0,0,4
1799,Setapak,Condominium,4,1362,1,Kuala Lumpur,0,0,0,0,4
1550,Setapak,Apartment,3,850,1,Kuala Lumpur,0,0,1,1,4
1000,Cheras,Service Residence,3,819,1,Kuala Lumpur,1,1,0,1,3
1250,Setapak,Apartment,3,1100,1,Kuala Lumpur,1,1,1,1,4
1500,Desa Pandan,Apartment,3,850,1,Kuala Lumpur,1,1,0,1,5
1700,Pudu,Condominium,3,860,1,Kuala Lumpur,1,1,1,1,5
1900,Bangsar South,Condominium,3,1150,1,Kuala Lumpur,1,1,1,1,5
2100,Taman Tun Dr Ismail,Condominium,3,1384,1,Kuala Lumpur,1,1,1,1,6
2300,Cheras,Condominium,3,850,2,Kuala Lumpur,1,1,1,1,3
1250,Kuchai Lama,Apartment,3,1043,1,Kuala Lumpur,0,0,0,1,4
800,Kepong,Apartment,3,700,1,Kuala Lumpur,0,0,0,0,3
1250,Kepong,Apartment,2,750,2,Kuala Lumpur,0,1,1,0,3
1450,Setapak,Apartment,3,850,1,Kuala Lumpur,0,0,0,1,4
1800,Setapak,Condominium,3,1125,2,Kuala Lumpur,1,1,1,1,4
1650,Setapak,Apartment,3,850,1,Kuala Lumpur,0,0,1,1,4
1750,Setapak,Apartment,3,850,1,Kuala Lumpur,0,1,1,1,4
650,Old Klang Road,Apartment,3,750,0,Kuala Lumpur,0,0,0,0,5
700,Cheras,Flat,2,570,0,Kuala Lumpur,0,0,0,0,3
1600,Bandar Menjalara,Condominium,3,1180,2,Kuala Lumpur,1,1,1,1,4
450,Setapak,Apartment,3,850,1,Kuala Lumpur,1,0,1,1,4
880,Setapak,Flat,3,800,2,Kuala Lumpur,0,1,1,0,4
1800,Bangsar South,Condominium,3,1097,1,Kuala Lumpur,1,1,1,1,5
1000,Kepong,Apartment,3,850,1,Kuala Lumpur,0,1,1,1,3
1400,Sentul,Condominium,3,1010,2,Kuala Lumpur,0,1,1,0,4
1700,Sentul,Apartment,3,1065,2,Kuala Lumpur,0,1,1,0,4
2500,Sentul,Service Residence,3,850,2,Kuala Lumpur,1,0,1,1,4
2400,Sentul,Service Residence,4,1001,1,Kuala Lumpur,1,0,0,1,4
1800,Setapak,Condominium,3,1000,2,Kuala Lumpur,1,1,1,1,4
1300,Bukit Jalil,Condominium,2,837,2,Kuala Lumpur,0,1,1,0,3
1100,Bangsar South,Flat,3,750,0,Kuala Lumpur,0,0,0,0,5
1800,Sentul,Condominium,3,1100,2,Kuala Lumpur,1,0,1,1,4
2200,Setapak,Condominium,1,700,2,Kuala Lumpur,1,0,0,1,4
2000,Setapak,Apartment,4,950,2,Kuala Lumpur,1,1,0,1,4
999,Cheras,Service Residence,2,650,1,Kuala Lumpur,1,1,0,1,3
800,Kepong,Apartment,3,700,1,Kuala Lumpur,0,1,0,0,3
1900,Setapak,Condominium,4,950,1,Kuala Lumpur,1,0,0,1,4
650,Cheras,Apartment,3,700,0,Kuala Lumpur,0,0,0,0,3
1300,Kepong,Condominium,4,1000,2,Kuala Lumpur,0,0,0,0,3
800,Bukit Jalil,Apartment,3,650,1,Kuala Lumpur,0,0,0,0,3
650,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
1800,Setapak,Condominium,3,1076,2,Kuala Lumpur,1,1,0,1,4
1900,Pandan Perdana,Apartment,2,678,2,Kuala Lumpur,1,1,1,1,4
650,Setapak,Condominium,4,1200,2,Kuala Lumpur,1,1,1,1,4
1600,Cheras,Service Residence,2,670,1,Kuala Lumpur,1,1,0,1,3
600,Kepong,Apartment,3,650,0,Kuala Lumpur,0,0,0,0,3
1900,Sungai Besi,Condominium,3,1216,1,Kuala Lumpur,1,1,0,1,4
1500,Setapak,Service Residence,3,850,0,Kuala Lumpur,1,1,0,1,4
1050,Bukit Jalil,Apartment,3,878,1,Kuala Lumpur,0,1,0,0,3
2400,Ampang,Condominium,3,1060,2,Kuala Lumpur,0,1,0,1,3
1100,Cheras,Apartment,3,625,0,Kuala Lumpur,0,0,0,0,3
2800,Sri Hartamas,Service Residence,3,1000,2,Kuala Lumpur,1,1,0,1,5
1800,Cheras,Condominium,3,850,1,Kuala Lumpur,1,1,0,1,3
2000,Bukit Jalil,Condominium,3,1325,1,Kuala Lumpur,1,1,0,1,3
1750,Sentul,Apartment,3,1065,2,Kuala Lumpur,0,0,0,1,4
645,Kepong,Apartment,3,850,2,Kuala Lumpur,0,1,1,0,3
1250,Bukit Jalil,Apartment,3,850,1,Kuala Lumpur,1,0,0,0,3
1700,Setapak,Apartment,3,928,1,Kuala Lumpur,1,1,0,1,4
2200,Sri Petaling,Service Residence,3,958,1,Kuala Lumpur,1,1,0,1,4
2200,Mont Kiara,Service Residence,1,636,2,Kuala Lumpur,1,1,1,1,6
800,Wangsa Maju,Flat,2,550,1,Kuala Lumpur,0,0,0,0,4
1000,Kepong,Apartment,3,850,1,Kuala Lumpur,0,1,0,1,3
1200,KL City,Apartment,3,805,1,Kuala Lumpur,1,0,0,1,6
1800,Jalan Kuching,Service Residence,3,1300,1,Kuala Lumpur,1,1,0,1,5
1100,Setapak,Apartment,3,653,2,Kuala Lumpur,0,0,0,0,4
1900,Bangsar South,Apartment,3,1200,1,Kuala Lumpur,1,1,1,1,5
1600,Ampang,Service Residence,2,589,2,Kuala Lumpur,1,1,1,1,3
2500,Ampang,Service Residence,4,890,2,Kuala Lumpur,1,1,1,0,3
1500,Kepong,Condominium,3,1000,1,Kuala Lumpur,1,1,0,1,3
1600,Jalan Ipoh,Service Residence,2,904,1,Kuala Lumpur,0,0,0,0,5
